type,id,latitude,longitude,name
way,140642845,-38.3324466,143.0758189,Cobden Hospital
way,141913324,-38.1813029,144.3385468,Barwon Health - Community Rehabilitation Centre
way,141913570,-38.1892604,144.326035,Belmont Community Health Centre
way,143665654,-38.3036793,145.189635,The Bays Hospital
way,149637251,-37.5408439,143.832199,Ballarat Day Procedural Centre
way,153513681,-37.8527443,145.1645738,Unknown
way,158029744,-38.1731361,145.1493226,Golf Links Road Rehabilitation Centre
way,158308079,-38.2304515,145.0410907,The Mornington Centre
way,162347888,-38.1726046,144.3955008,Barwon Health - Newcomb
way,164675865,-38.2006794,145.4842578,Koo Wee Rup Hospital
way,166549401,-37.8313765,147.6077027,Bairnsdale Regional Health Service
way,178259147,-36.1383484,144.7475568,Echuca Regional Health
way,178735795,-37.3019393,144.9581572,Kilmore & District Hospital
way,179411627,-36.7618366,144.2635971,St John of God Bendigo Hospital
way,182807929,-37.9608788,145.018102,Sandringham & District Memorial Hospital
way,188745684,-37.7369881,142.0310146,Hamilton Base Hospital
way,190582877,-35.7238648,143.9178256,Kerang District Health
way,190697775,-37.8478799,145.1140729,Medical Centre
way,192849484,-36.5719833,143.8737725,Inglewood Hospital
way,192884557,-37.4311502,143.3824179,Beaufort Hospital
way,197277666,-36.3666367,142.9763509,East Wimmera Health Service - Donald Campus
way,197451936,-38.7538618,143.6640055,Otway Health & Community Services Apollo Bay
way,197853012,-37.5901747,141.3923568,Casterton Memorial Hospital
way,200384051,-37.5636617,149.151655,Cann Valley Bush Nursing Centre
way,200882123,-38.6048803,145.5878939,Wonthaggi Medical Centre
way,213482233,-36.9255596,144.708717,Heathcote Hospital
way,218426176,-38.3715271,142.4791594,St John of God Hospital
way,219503952,-37.7020906,148.4654221,Orbost Regional Health
way,219506349,-37.9609588,146.9837554,Mafra District Hospital
way,219509937,-38.2154042,146.4186882,Maryvale Private Hospital
way,219759856,-38.5572842,146.6781974,Yarram and District Health Service
way,219760833,-38.6589781,146.2066291,South Gippsland Hospital
way,219893484,-38.6082884,145.5810851,Wonthaggi Hospital
way,220078647,-37.6468481,145.5289892,Healesville & District Hospital
way,220094117,-36.7434327,147.1698301,Alpine Health [Mount Beauty]
way,220229825,-35.6820249,142.6653918,Woomelang & District Bush Nursing Centre
way,220413058,-35.5005726,142.8578057,Sea Lake & District Health Service
way,220463642,-35.9802129,142.9158769,East Wimmera Health Service (Birchip Campus)
way,220738911,-35.9038922,141.9953713,Rainbow Bush Nursing Hospital
way,221179743,-37.5449333,142.7459647,East Grampians Health Service
way,221447439,-38.1134128,145.2811056,Cranbourne Integrated Care Centre
way,221802620,-36.6365522,142.6319211,Rupanyup Hospital & Nursing Home
way,222307236,-36.4633352,142.5917725,Community Health Centre
way,222413475,-36.6198007,142.4707724,Murtoa Community Health Centre
way,222622253,-35.7320215,142.366548,Rural Northwest Health Hopetoun
way,222882730,-37.8096448,144.9832424,East Melbourne Specialist Day Hospital
way,222882734,-37.8094605,144.9823363,Epworth Freemasons
way,223101843,-38.3800614,142.4729942,Warrnambool Base Hospital
way,223482326,-37.8090201,144.9763018,Royal Victorian Eye & Ear Hospital
way,226170038,-36.1991271,147.9027828,Corryong Hospital
way,226969414,-36.0784881,143.2341181,Wycheproof Hospital
way,228776740,-36.2523238,142.3818904,Rural Northwest Health Warracknabeal Campus
way,230226038,-35.9382726,142.4216616,Rural Northwest Health Beulah Campus
way,232322242,-37.6495529,145.0092869,Epping Private Hospital
way,232630255,-36.5542331,146.7287677,Myrtleford Memorial Hospital
way,237931110,-37.7232499,144.9477122,Dorset Private Hospital
way,238150175,-34.5841361,142.7814959,Robinvale District Health Services
way,245023786,-37.6842068,143.3675052,Skipton Hospital
way,245398973,-37.6846139,144.9122158,Broadmeadows Health Services
way,255432030,-38.4494658,145.2371718,Bass Coast Community Health
way,256149913,-36.1414052,141.9846467,Jeparit Hospital
way,257761520,-37.7174134,144.9972479,Reservoir Private Hospital
way,258244752,-37.8104805,145.1947515,Mitcham Private Hospital
way,265723966,-37.4205108,143.8920283,Creswick Hospital and Nursing Home
way,265910010,-37.8461529,144.9825885,Alfred Hospital
way,266067397,-38.2431107,143.9857983,Winchelsea Hospital
way,272720512,-37.8160051,144.9925006,Epworth Rehabilitation
way,276434644,-37.7931868,144.8858737,Western Private Hospital
way,288191361,-37.6779418,144.4335569,Bacchus Marsh & Melton Regional Hospital
way,288404912,-37.6874106,144.5581184,Melton Health
way,290512590,-37.8065263,145.0236936,St Vincent's Private Hospital Kew
way,293187632,-37.9242465,141.2754502,Dartmoor & District Bush Nursing Centre
way,295344938,-34.1862443,142.1430602,Mildura Base Public Hospital
way,297312580,-36.1387214,146.876716,Murray Valley Private Hospital
way,298932579,-38.1531882,145.1558477,St John Of God Frankston Rehabilitation Hospital
way,300745775,-37.386382,144.3277083,Trentham Aged Care Hostel
way,302399578,-37.9662383,145.1920132,South Eastern Private Hospital
way,306963576,-37.8111881,144.9777173,St Vincents on the Park
way,309527369,-36.0118521,146.0065935,Yarrawonga Hospital
way,311852621,-37.5957885,144.919516,Craigieburn Health Service
way,317070811,-37.7016085,145.0555902,Bundoora Extended Care Centre
way,320493071,-36.714911,141.4833686,Goroke Community Health Centre
way,328660783,-37.8173592,145.1210359,Sexual Health Victoria
way,329374268,-38.1737894,145.9281489,West Gippsland Hospital
way,330039069,-36.6095617,143.2468538,East Wimmera Health Service St Arnaud Campus
way,330040789,-36.2683933,143.3524959,East Wimmera Health Service - Charlton Campus
way,342028767,-37.0982657,147.597229,Omeo District Health
way,351040236,-36.3542232,146.3131755,Northeast Health Wangaratta
way,352050532,-36.7510755,144.2807102,Anne Caudle Campus
way,376320463,-37.8280503,145.104643,BlueCross Broughtonlea
way,377682365,-35.9157383,145.6507258,Cobram District Hospital
way,389781737,-37.9908387,145.0725043,Como Private Hospital
way,400977080,-37.8217033,145.0228479,Epworth Hawthorn
way,403000168,-36.7330363,146.9660291,Bright District Hospital & Health Services
way,421754844,-36.3155336,145.0423672,Kyabram Hospital
