type,id,latitude,longitude
way,23632084,-37.863413,145.110654
way,23632097,-37.8644449,145.1016002
way,23691183,-37.8488579,145.2373705
way,23691432,-37.8506336,145.2420772
way,23692035,-37.8496528,145.2299655
way,23717114,-37.7976591,144.9636002
way,23731012,-37.7635674,144.8892745
way,23766733,-37.8000878,144.9630145
way,23780206,-37.8469373,145.2433892
way,23782189,-37.784345,144.8779804
way,23797061,-37.8967997,145.0815492
way,23797898,-37.8449924,145.229477
way,23798030,-37.8451142,145.2343527
way,23810508,-37.9063363,145.1122994
way,23873368,-38.0624177,145.2901607
way,23907995,-37.9441418,145.1588148
way,23908211,-37.9634693,145.152439
way,23909867,-37.8219861,144.9715296
way,23910919,-37.9777641,145.1691306
way,23912224,-37.9808024,145.2087169
way,23926716,-37.9778659,145.1183729
way,23946469,-37.9937321,145.2197459
way,23946495,-37.9983632,145.2404004
way,23948252,-38.0659967,145.2922355
way,23974995,-37.955141,145.150255
way,24040078,-37.8429801,145.161817
way,24040616,-37.8544064,145.1935942
way,24054620,-37.8793208,145.1976654
way,24054695,-37.8811165,145.1931006
way,24107642,-37.9243867,145.0919171
way,24115218,-37.8563441,145.1610334
way,24122811,-37.9116197,145.092949
way,24219949,-38.0655448,145.284389
way,24219962,-38.0608715,145.2852423
way,24237881,-37.9201719,145.1030937
way,24237882,-37.92593,145.1043395
way,24237884,-37.922472,145.1160164
way,24373546,-37.8153274,145.2255647
way,24399671,-37.8959786,145.2584331
way,24411855,-37.8730915,145.2390329
way,24412058,-37.8689742,145.2559011
way,24530888,-37.8239401,144.987717
way,24577603,-37.8205163,145.1360557
way,24577635,-37.8174105,145.1374148
way,24591396,-37.8601235,144.9954321
