Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yarraville-Seddon,178.75,187.5,200.0,208.0,218.75,227.5,237.5,271.25,306.25,325.0,347.5,350.0,368.25,378.75,397.5,411.25,425.0,450.75,463.75,485.0,491.25,477.5,475.0,500.0
Group Total,162.5,171.25,178.33,183.4,190.0,195.0,203.75,223.75,255.0,281.25,293.75,300.0,300.0,311.25,321.25,332.5,346.25,358.75,375.0,380.0,380.0,380.0,387.5,400.0
Broadmeadows-Roxburgh Park,165.0,172.0,178.33,184.0,192.5,197.75,205.0,220.0,255.0,290.0,302.5,313.0,313.0,310.25,320.0,326.75,332.5,346.25,364.75,370.0,370.0,367.0,375.75,395.0
Brunswick,180.0,190.0,200.0,207.4,216.25,230.0,240.0,265.75,293.75,327.5,352.5,377.5,393.75,400.0,400.0,407.5,422.5,442.5,456.25,472.0,475.0,428.75,438.75,485.0
Coburg-Pascoe Vale South,180.0,191.25,201.67,205.0,220.0,225.0,235.0,263.75,307.5,340.0,351.25,360.0,370.0,378.75,381.25,393.75,400.0,418.75,441.25,450.0,452.5,450.0,442.5,475.0
Craigieburn,177.5,185.0,190.0,198.0,201.5,211.25,220.0,238.75,268.75,302.5,317.5,330.0,328.75,320.0,330.0,332.5,343.75,352.5,372.5,385.75,390.0,390.0,407.5,421.0
East Brunswick,210.0,237.5,250.0,255.0,262.5,267.5,279.5,296.0,335.0,360.0,382.5,407.5,425.0,412.5,387.5,400.0,415.0,425.0,434.5,455.0,446.25,407.5,421.25,450.0
Essendon,176.25,184.0,193.33,200.0,202.5,212.5,222.5,245.0,283.75,305.25,325.0,336.25,350.0,350.0,350.0,357.5,368.75,387.5,400.0,410.75,413.75,400.0,402.5,425.0
Gladstone Park-Tullamarine,176.25,181.25,190.0,197.0,200.0,200.0,206.25,222.5,251.25,280.0,300.0,312.5,322.5,320.0,330.0,335.0,344.25,360.0,377.5,387.0,391.25,392.5,405.0,420.0
Keilor,222.5,220.0,221.0,229.6,226.5,231.25,240.0,257.5,289.0,327.5,349.0,345.0,355.0,369.5,372.5,377.0,402.0,406.25,435.0,435.0,412.5,423.75,452.5,480.0
Moonee Ponds-Ascot Vale,187.0,205.0,220.0,220.0,230.25,237.0,255.0,280.0,315.0,347.5,355.0,376.25,388.75,386.25,385.0,392.5,400.0,417.5,437.5,445.0,431.25,405.0,428.75,460.0
Oak Park-Glenroy-Fawkner,160.75,168.5,173.33,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.5,322.5,332.5,343.75,350.0,365.0,382.5,395.5,400.0,387.5,391.25,415.0
Pascoe Vale-Coburg North,171.25,181.25,190.0,193.6,200.0,205.0,221.25,255.0,291.0,315.0,325.0,340.0,346.25,340.0,350.0,355.0,370.0,393.75,402.5,417.5,420.0,410.0,420.0,445.0
Sunbury,166.25,174.5,185.0,195.0,200.0,201.25,208.75,222.5,245.0,266.25,287.5,303.75,310.0,315.0,320.0,327.5,331.25,345.0,363.25,376.25,373.75,385.0,400.0,420.0
